bill_title,global_issues
2025-S34,"Budget; Elections"
2025-S38,"Ethics; Crime"
2025-S62,"State Parks & Recreation; First Responders"
2025-S101,"Opioid & Substance Use; Health Care"
2025-S115,"Arts & Culture; Civil Rights"
2025-S117,"Seniors; Taxes"
2025-S129,"Veterans; Taxes"
2025-S131,Transportation
2025-A62,"MTA; Transportation"
2025-A48,Judiciary
2025-A50,"Arts & Culture; Taxes"
2025-A24,"Child Care"
2025-A45,"Criminal Justice Reform; Seniors"
2025-S135,"Reproductive Health"
2025-S187,"Environment; Consumer Protection"
2025-S188,"Local Government"
2025-A80,Veterans
2025-A104,Judiciary
2025-A113,Transportation
2025-S197,"Animal Welfare"
2025-S231,"Taxes; Higher Education"
2025-S232,"Emergency Management; Seniors"
2025-S242,"Minority & Women-Owned Business"
2025-S246,"Social Services"
2025-S254,"Mental Health"
2025-A185,"Mental Health"
2025-S282,Elections
2025-A125,"Public Safety"
2025-S300,"Taxes; First Responders"
2025-S315,"Economic Development; Small Business"
2025-S324,"Elections; Campaign Finance"
2025-S328,Immigration
2025-S335,"Consumer Protection"
2025-S371,"Health Care"
2025-S382,"Developmental Disabilities"
2025-S383,"Developmental Disabilities"
2025-S397,"Consumer Protection"
2025-S420,"Consumer Protection; Environment"
2025-S426,"Ethics; Women's Rights"
2025-S427,"Nutrition; Consumer Protection"
2025-S438,"Health Care; Consumer Protection"
2025-S439,"Criminal Justice Reform; Labor"
2025-A265,"Opioid & Substance Use; Health Care"
2025-S473,"Animal Welfare; Taxes"
2025-A277,"Emergency Management; Energy; Public Safety"
2025-S483,"Criminal Justice Reform"
2025-A351,Education
2025-A304,"Reproductive Health"
2025-A308,Homelessness
2025-A365,Labor
2025-S502,Labor
2025-S529,"Housing; Local Government"
2025-A404,Housing
2025-A392,"Labor; Jobs & Employment"
2025-A401,"Veterans; Jobs & Employment"
2025-S551,Children
2025-S552,Education
2025-A383,"Seniors; State Parks & Recreation"
2025-S553,"Higher Education"
2025-S565,"Technology Policy; Consumer Protection"
2025-S568,"Voting Rights; Elections"
2025-S607,"Health Care"
2025-S632,"Immigration; Local Government"
2025-S667,"Education; Nutrition"
2025-S680,"Emergency Management"
2025-S694,"Public Safety"
2025-S713,"Developmental Disabilities; Jobs & Employment"
2025-S731,"First Responders"
2025-A447,"Telecommunications; Public Safety"
2025-A479,"Health Care; Labor"
2025-A548,Education
2025-A572,"Civil Service & Pensions; Veterans"
2025-A593,Transportation
2025-S871,"Domestic Violence; Housing"
2025-S875,Crime
2025-A690,"Animal Welfare; Crime"
2025-S897,"Women's Rights; Labor"
2025-S899,Children
2025-A617,Ethics
2025-A637,"Animal Welfare; Taxes"
2025-A696,Children
2025-A724,"Animal Welfare; Insurance"
2025-A774,Children
2025-A781,"Criminal Justice Reform"
2025-A777,Veterans
2025-A795,"Tenant Rights; Housing"
2025-A799,Housing
2025-S908,"Criminal Justice Reform"
2025-S917,"Telecommunications; Infrastructure; Taxes"
2025-S924,Telecommunications
2025-S927,"Technology Policy; Data Privacy; Children"
2025-S930,"Small Business"
2025-S933,"Technology Policy"
2025-A842,"Seniors; Health Care"
2025-S959,"Civil Service & Pensions"
2025-A856,"Opioid & Substance Use; Mental Health; Health Care"
2025-A862,"Animal Welfare"
2025-S999,"Medicaid; Children"
2025-S1016,"Voting Rights; Elections; Education"
2025-S1019,"Tenant Rights; Housing"
2025-A901,Seniors
2025-S1033,"Technology Policy; Civil Rights; Crime"
2025-S1043,"Criminal Justice Reform"
2025-S1035,Elections
2025-S1036,"Voting Rights"
2025-A933,"Renewable Energy; Environment"
2025-A947,Veterans
2025-A977,"Cannabis Policy"
2025-A981,"Small Business; Economic Development"
2025-A1010,"Criminal Justice Reform"
2025-S1085,"Elections; Voting Rights"
2025-S1087,Elections
2025-S1093,Taxes
2025-S1102,Elections
2025-S1100,"Libraries; Civil Rights"
2025-S1115,"Taxes; Small Business"
2025-S1127,"Social Services; Affordability"
2025-S1130,"Tenant Rights; Housing; Civil Rights"
2025-S1136,"Ethics; Taxes"
2025-S1149,"Judiciary; Public Safety"
2025-S1163,Housing
2025-A1068,"Mental Health; Criminal Justice Reform"
2025-A1034,"Opioid & Substance Use"
2025-A1060,Transportation
2025-S1170,"Tenant Rights; Housing"
2025-S1213,"Criminal Justice Reform; Jobs & Employment"
2025-S1217,"Housing; Tenant Rights"
2025-S1219,"Housing; Homelessness"
2025-S1247,"Local Government"
2025-S1259,"Disability Rights"
2025-S1279,"Consumer Protection; Small Business"
2025-S1283,"Women's Health"
2025-S1309,"Local Government"
2025-A1117,"First Responders"
2025-S1327,"Utilities; Consumer Protection"
