"tid","field_related_issue","name"
"226547","226548, 226552, 226551, 226550, 226567","Health Care"
"226548","226547, 226549, 226554, 226608, 226557","Mental Health"
"226549","226548, 226599, 226547, 226554","Developmental Disabilities"
"226550","226547, 226618, 226551, 226607","Women's Health"
"226551","226547, 226554, 226552, 226550","Health Equity"
"226552","226547, 226609, 226554, 226599","Medicaid"
"226553","226608, 226607, 226558, 226554","Child Care"
"226554","226617, 226555, 226552, 226607","Social Services"
"226555","226554, 226608, 226584, 226547","Nutrition"
"226556","226547, 226585, 226584","Lyme & Tick-Borne Diseases"
"226557","226548, 226547, 226588, 226589","Opioid & Substance Use"
"226558","226559, 226560, 226608, 226568","Education"
"226559","226558, 226564, 226568","Higher Education"
"226560","226558, 226576, 226610","Libraries"
"226561","226562, 226564, 226577, 226568","Economic Development"
"226562","226561, 226573, 226569, 226571","Small Business"
"226563","226564, 226565, 226605, 226561","Labor"
"226564","226563, 226565, 226561, 226559","Jobs & Employment"
"226565","226563, 226564, 226562, 226570","Minimum Wage"
"226566","226571, 226567, 226568, 226562","Finance"
"226567","226547, 226571, 226566, 226570","Insurance"
"226568","226569, 226566, 226576, 226561","Budget"
"226569","226568, 226570, 226562, 226576","Taxes"
"226570","226569, 226574, 226582, 226571","Affordability"
"226571","226566, 226567, 226570, 226614, 226615","Consumer Protection"
"226572","226604, 226602, 226595","Campaign Finance"
"226573","226562, 226561, 226598, 226595","Minority & Women-Owned Business"
"226574","226620, 226617, 226576, 226575, 226570","Housing"
"226575","226586, 226583, 226576, 226568","Infrastructure"
"226576","226568, 226574, 226577, 226575","Local Government"
"226577","226574, 226576, 226561","Community Development"
"226578","226579, 226583, 226585, 226584","Environment"
"226579","226578, 226580, 226581, 226582","Climate Change"
"226580","226581, 226579, 226578, 226582","Renewable Energy"
"226581","226580, 226582, 226579, 226622","Energy"
"226582","226581, 226571, 226570, 226580","Utilities"
"226583","226578, 226575, 226584","Clean Water"
"226584","226555, 226578, 226561, 226585","Agriculture"
"226585","226578, 226584, 226576","State Parks & Recreation"
"226586","226587, 226575, 226578","Transportation"
"226587","226586, 226575, 226568","MTA"
"226588","226590, 226594, 226623, 226589","Public Safety"
"226589","226590, 226588, 226603, 226595","Criminal Justice Reform"
"226590","226589, 226588, 226591, 226594","Crime"
"226591","226588, 226590, 226592","Gun Control"
"226592","226588, 226598, 226554, 226590","Domestic Violence"
"226593","226588, 226586, 226590","Drunk Driving"
"226594","226588, 226623, 226590, 226576","First Responders"
"226595","226596, 226598, 226599, 226600, 226601","Civil Rights"
"226596","226604, 226595, 226576","Voting Rights"
"226597","226595, 226554, 226564","Immigration"
"226598","226595, 226550, 226573, 226592","Women's Rights"
"226599","226549, 226595, 226547, 226574","Disability Rights"
"226600","226595, 226588, 226590","Hate Crimes"
"226601","226595, 226547, 226600, 226607","LGBTQ+ Rights"
"226602","226604, 226572, 226603","Ethics"
"226603","226589, 226602, 226595","Judiciary"
"226604","226596, 226572, 226602","Elections"
"226605","226563, 226568, 226576","Civil Service & Pensions"
"226606","226588, 226547, 226564","Veterans"
"226607","226608, 226553, 226554, 226598","Families"
"226608","226607, 226558, 226553, 226547","Children"
"226609","226552, 226547, 226554","Seniors"
"226610","226558, 226611, 226576","Arts & Culture"
"226611","226610, 226576, 226585","Historical Preservation"
"226612","226575, 226614, 226576, 226615","Telecommunications"
"226613","226561, 226571","Gaming"
"226614","226571, 226612, 226622, 226615","Data Privacy"
"226615","226614, 226612, 226622, 226571","Technology Policy"
"226616","226547, 226554, 226562","COVID-19 Pandemic"
"226617","226574, 226554, 226620, 226548","Homelessness"
"226618","226550, 226547, 226614","Reproductive Health"
"226619","226562, 226588, 226561","Cannabis Policy"
"226620","226574, 226617, 226570, 226571","Tenant Rights"
"226621","226584, 226588, 226571","Animal Welfare"
"226622","226581, 226582, 226578, 226615","Data Centers"
"226623","226588, 226594, 226575","Emergency Management"
