bill_number,sponsor,quote,global_issues,placeholder,source_url,release_title,release_date
S.363A,"Michael Gianaris","""We cannot allow corporate abuse of New Yorkers.""","Consumer Protection",false,https://www.nysenate.gov/newsroom/press-releases/2026/senate-advances-legislation-strengthen-consumer-protections-prevent,"Consumer Protections & Pricing Package",2026-05-12
S.8616A,"Michael Gianaris","""We cannot allow corporate abuse of New Yorkers.""","Consumer Protection",false,https://www.nysenate.gov/newsroom/press-releases/2026/senate-advances-legislation-strengthen-consumer-protections-prevent,"Consumer Protections & Pricing Package",2026-05-12
S.4413A,"Rachel May","""Too many companies are exploiting New Yorkers with deceptive and predatory practices.""","Consumer Protection; Data Privacy",false,https://www.nysenate.gov/newsroom/press-releases/2026/senate-advances-legislation-strengthen-consumer-protections-prevent,"Consumer Protections & Pricing Package",2026-05-12
S.5599,"Rachel May","""Too many companies are exploiting New Yorkers with deceptive and predatory practices.""","Consumer Protection",false,https://www.nysenate.gov/newsroom/press-releases/2026/senate-advances-legislation-strengthen-consumer-protections-prevent,"Consumer Protections & Pricing Package",2026-05-12
S.8563,"Cordell Cleare","""We had a problem well before ten-dollar eggs.""","Consumer Protection",false,https://www.nysenate.gov/newsroom/press-releases/2026/senate-advances-legislation-strengthen-consumer-protections-prevent,"Consumer Protections & Pricing Package",2026-05-12
S.488A,"Nathalia Fernandez","""Transparency and competition are essential to lowering prescription drug costs.""","Health Care; Consumer Protection",false,https://www.nysenate.gov/newsroom/press-releases/2026/senate-advances-legislation-strengthen-consumer-protections-prevent,"Consumer Protections & Pricing Package",2026-05-12
S.4391,"Andrew Gounardes","""New Yorkers deserve straightforward, honest business practices.""","Consumer Protection",false,https://www.nysenate.gov/newsroom/press-releases/2026/senate-advances-legislation-strengthen-consumer-protections-prevent,"Consumer Protections & Pricing Package",2026-05-12
S.8483C,"Christopher J. Ryan","""Consumers deserve fairness and transparency online.""","Consumer Protection; Data Privacy",false,https://www.nysenate.gov/newsroom/press-releases/2026/senate-advances-legislation-strengthen-consumer-protections-prevent,"Consumer Protections & Pricing Package",2026-05-12
S.5488,"Leroy Comrie","""This legislation strengthens accountability while supporting the organizations doing this work.""","Animal Welfare",false,https://www.nysenate.gov/newsroom/press-releases/2026/new-york-senate-advances-legislation-prevent-prohibit-and-remedy,"Animal Mistreatment Package",2026-05-05
S.3629A,"Nathalia Fernandez","""New York is setting a clear standard that prioritizes humane treatment and safety.""","Animal Welfare",false,https://www.nysenate.gov/newsroom/press-releases/2026/new-york-senate-advances-legislation-prevent-prohibit-and-remedy,"Animal Mistreatment Package",2026-05-05
S.3026,"Michael Gianaris","""I am proud to pass legislation giving a voice to our four-legged friends.""","Animal Welfare",false,https://www.nysenate.gov/newsroom/press-releases/2026/new-york-senate-advances-legislation-prevent-prohibit-and-remedy,"Animal Mistreatment Package",2026-05-05
S.3073A,"Michael Gianaris","""I am proud to pass legislation giving a voice to our four-legged friends.""","Animal Welfare",false,https://www.nysenate.gov/newsroom/press-releases/2026/new-york-senate-advances-legislation-prevent-prohibit-and-remedy,"Animal Mistreatment Package",2026-05-05
S.9207,"Michael Gianaris","""I am proud to pass legislation giving a voice to our four-legged friends.""","Animal Welfare",false,https://www.nysenate.gov/newsroom/press-releases/2026/new-york-senate-advances-legislation-prevent-prohibit-and-remedy,"Animal Mistreatment Package",2026-05-05
S.1664,"Pete Harckham","""I'm proud that my bill granting SPCA officers access to live-scan fingerprinting was included.""","Animal Welfare",false,https://www.nysenate.gov/newsroom/press-releases/2026/new-york-senate-advances-legislation-prevent-prohibit-and-remedy,"Animal Mistreatment Package",2026-05-05
S.1784,"Michelle Hinchey","""My bill requires vacated homes to be inspected for abandoned animals within three days.""","Animal Welfare",false,https://www.nysenate.gov/newsroom/press-releases/2026/new-york-senate-advances-legislation-prevent-prohibit-and-remedy,"Animal Mistreatment Package",2026-05-05
S.197,"Monica R. Martinez","""Expansions of 'Tucker's Law' will better protect these vulnerable creatures from abuse.""","Animal Welfare",false,https://www.nysenate.gov/newsroom/press-releases/2026/new-york-senate-advances-legislation-prevent-prohibit-and-remedy,"Animal Mistreatment Package",2026-05-05
S.1741,"Monica R. Martinez","""Expansions of 'Tucker's Law' will better protect these vulnerable creatures from abuse.""","Animal Welfare",false,https://www.nysenate.gov/newsroom/press-releases/2026/new-york-senate-advances-legislation-prevent-prohibit-and-remedy,"Animal Mistreatment Package",2026-05-05
S.5014,"Luis R. Sepulveda","""New York cannot be complicit in the trophy trade that endangers iconic animals.""","Animal Welfare",false,https://www.nysenate.gov/newsroom/press-releases/2026/new-york-senate-advances-legislation-prevent-prohibit-and-remedy,"Animal Mistreatment Package",2026-05-05
S.3158,"James Skoufis","""The laws that punish those who organize and profit from animal fighting are not strong enough.""","Animal Welfare",false,https://www.nysenate.gov/newsroom/press-releases/2026/new-york-senate-advances-legislation-prevent-prohibit-and-remedy,"Animal Mistreatment Package",2026-05-05
S.156A,"Julia Salazar","""Senate Bill 156A will rightfully increase the amount of compensation owed to victims.""","Public Safety",false,https://www.nysenate.gov/newsroom/press-releases/2026/new-york-state-senate-strengthens-protections-crime-victims-and,"Crime Victims & Survivors Protections",2026-04-28
S.4584A,"Julia Salazar","""The Survivors First Act eliminates barriers to full victim compensation.""","Public Safety",false,https://www.nysenate.gov/newsroom/press-releases/2026/new-york-state-senate-strengthens-protections-crime-victims-and,"Crime Victims & Survivors Protections",2026-04-28
S.8628,"Julia Salazar","""This will ensure sexual assault survivors know how to make their addresses confidential.""","Domestic Violence",false,https://www.nysenate.gov/newsroom/press-releases/2026/new-york-state-senate-strengthens-protections-crime-victims-and,"Crime Victims & Survivors Protections",2026-04-28
S.871,"Jamaal T. Bailey","""This slate of bills is meant to ensure survivors receive the same emergency priority in public housing.""","Domestic Violence; Housing",false,https://www.nysenate.gov/newsroom/press-releases/2026/new-york-state-senate-strengthens-protections-crime-victims-and,"Crime Victims & Survivors Protections",2026-04-28
S.6814,"Jamaal T. Bailey","""This slate of bills is meant to ensure survivors receive the same emergency priority in public housing.""","Public Safety",false,https://www.nysenate.gov/newsroom/press-releases/2026/new-york-state-senate-strengthens-protections-crime-victims-and,"Crime Victims & Survivors Protections",2026-04-28
S.8045,"Siela A. Bynoe","""My bill ensures victims of domestic violence have clear, accessible information to protect themselves.""","Domestic Violence",false,https://www.nysenate.gov/newsroom/press-releases/2026/new-york-state-senate-strengthens-protections-crime-victims-and,"Crime Victims & Survivors Protections",2026-04-28
S.54A,"Nathalia Fernandez","""Intoxication is not consent, and our laws should not treat it that way.""","Domestic Violence",false,https://www.nysenate.gov/newsroom/press-releases/2026/new-york-state-senate-strengthens-protections-crime-victims-and,"Crime Victims & Survivors Protections",2026-04-28
S.2273,"Liz Krueger","""Harassment is harassment, whether it happens over the phone or via text.""","Domestic Violence",false,https://www.nysenate.gov/newsroom/press-releases/2026/new-york-state-senate-strengthens-protections-crime-victims-and,"Crime Victims & Survivors Protections",2026-04-28
S.7612,"Monica R. Martinez","""My legislation gives people escaping domestic violence or facing homelessness more options.""","Domestic Violence; Homelessness",false,https://www.nysenate.gov/newsroom/press-releases/2026/new-york-state-senate-strengthens-protections-crime-victims-and,"Crime Victims & Survivors Protections",2026-04-28
S.2416,"Kevin S. Parker","""Survivors of domestic violence should never be trapped in contracts that bind them to harm.""","Domestic Violence",false,https://www.nysenate.gov/newsroom/press-releases/2026/new-york-state-senate-strengthens-protections-crime-victims-and,"Crime Victims & Survivors Protections",2026-04-28
S.6750,"Lea Webb","""This bill restores justice and gives survivors the power to protect their financial future.""","Domestic Violence; Civil Service & Pensions",false,https://www.nysenate.gov/newsroom/press-releases/2026/new-york-state-senate-strengthens-protections-crime-victims-and,"Crime Victims & Survivors Protections",2026-04-28
S.1668,"Pete Harckham","""New York needs a bold vision and real action on clean energy.""",Energy,false,https://www.nysenate.gov/newsroom/press-releases/2026/new-york-state-senate-advances-legislation-honor-earth-day-safeguard,"Earth Day Environmental Package",2026-04-21
S.4046,"Pete Harckham","""New York needs a bold vision and real action on clean energy.""",Energy,false,https://www.nysenate.gov/newsroom/press-releases/2026/new-york-state-senate-advances-legislation-honor-earth-day-safeguard,"Earth Day Environmental Package",2026-04-21
S.6765A,"Pete Harckham","""New York needs a bold vision and real action on clean energy.""",Environment,false,https://www.nysenate.gov/newsroom/press-releases/2026/new-york-state-senate-advances-legislation-honor-earth-day-safeguard,"Earth Day Environmental Package",2026-04-21
S.6570A,"Pete Harckham","""New York needs a bold vision and real action on clean energy.""","Renewable Energy",false,https://www.nysenate.gov/newsroom/press-releases/2026/new-york-state-senate-advances-legislation-honor-earth-day-safeguard,"Earth Day Environmental Package",2026-04-21
S.9268A,"Patricia Fahy","""PFAS are toxic, 'forever chemicals' that do not break down over time.""",Environment,false,https://www.nysenate.gov/newsroom/press-releases/2026/new-york-state-senate-advances-legislation-honor-earth-day-safeguard,"Earth Day Environmental Package",2026-04-21
S.1463A,"Brian Kavanagh","""Extended producer responsibility is one of the most powerful tools to address waste.""",Environment,false,https://www.nysenate.gov/newsroom/press-releases/2026/new-york-state-senate-advances-legislation-honor-earth-day-safeguard,"Earth Day Environmental Package",2026-04-21
S.1574A,"Liz Krueger","""These bills will lead to cleaner, healthier air and water for New York families.""",Environment,false,https://www.nysenate.gov/newsroom/press-releases/2026/new-york-state-senate-advances-legislation-honor-earth-day-safeguard,"Earth Day Environmental Package",2026-04-21
S.8512B,"Liz Krueger","""These bills will boost access to cheap, clean solar power.""","Renewable Energy",false,https://www.nysenate.gov/newsroom/press-releases/2026/new-york-state-senate-advances-legislation-honor-earth-day-safeguard,"Earth Day Environmental Package",2026-04-21
S.1833A,"Rachel May","""My Harmful Algal Bloom Monitoring and Prevention Act gives communities tools to respond to these threats.""","Clean Water",false,https://www.nysenate.gov/newsroom/press-releases/2026/new-york-state-senate-advances-legislation-honor-earth-day-safeguard,"Earth Day Environmental Package",2026-04-21
S.5111A,"Kevin S. Parker","""The Just Energy Transition Act represents our commitment to phasing out outdated fossil fuel infrastructure.""","Energy; Environment",false,https://www.nysenate.gov/newsroom/press-releases/2026/new-york-state-senate-advances-legislation-honor-earth-day-safeguard,"Earth Day Environmental Package",2026-04-21
S.3581,"Gustavo Rivera","""This bill will speed up the identification of lead service lines in our water systems.""","Clean Water",false,https://www.nysenate.gov/newsroom/press-releases/2026/new-york-state-senate-advances-legislation-honor-earth-day-safeguard,"Earth Day Environmental Package",2026-04-21
S.7809A,"Julia Salazar","""This legislation would divert 1.69 million pounds of organic waste from landfills.""",Environment,false,https://www.nysenate.gov/newsroom/press-releases/2026/new-york-state-senate-advances-legislation-honor-earth-day-safeguard,"Earth Day Environmental Package",2026-04-21
S.2057B,"Lea Webb","""The Beauty Justice Act is a long-overdue step towards protecting our health.""","Consumer Protection; Environment",false,https://www.nysenate.gov/newsroom/press-releases/2026/new-york-state-senate-advances-legislation-honor-earth-day-safeguard,"Earth Day Environmental Package",2026-04-21
S.1553,"Kevin S. Parker","""This ratepayer package is about restoring trust and bringing balance back to the system.""","Utilities; Renewable Energy",false,https://www.nysenate.gov/newsroom/press-releases/2026/senate-advances-legislation-ensure-fair-rates-deliver-relief,"Fair Rates & Ratepayer Relief Package",2026-04-15
S.2011,"Kevin S. Parker","""This ratepayer package is about restoring trust and bringing balance back to the system.""","Utilities; Consumer Protection",false,https://www.nysenate.gov/newsroom/press-releases/2026/senate-advances-legislation-ensure-fair-rates-deliver-relief,"Fair Rates & Ratepayer Relief Package",2026-04-15
S.120A,"Cordell Cleare","""A balance due on one's electric or gas bill should not mean New Yorkers risk their lives.""","Utilities; Consumer Protection",false,https://www.nysenate.gov/newsroom/press-releases/2026/senate-advances-legislation-ensure-fair-rates-deliver-relief,"Fair Rates & Ratepayer Relief Package",2026-04-15
S.8019,"Leroy Comrie","""This legislation ensures critical energy funding is reported clearly and used transparently.""",Utilities,false,https://www.nysenate.gov/newsroom/press-releases/2026/senate-advances-legislation-ensure-fair-rates-deliver-relief,"Fair Rates & Ratepayer Relief Package",2026-04-15
S.8908,"Leroy Comrie","""When utilities violate the law, the financial penalties are returned directly to ratepayers.""","Utilities; Consumer Protection",false,https://www.nysenate.gov/newsroom/press-releases/2026/senate-advances-legislation-ensure-fair-rates-deliver-relief,"Fair Rates & Ratepayer Relief Package",2026-04-15
S.904B,"Kristen Gonzalez","""New Yorkers are struggling to keep their lights on while utility companies operate deceptively.""","Utilities; Consumer Protection",false,https://www.nysenate.gov/newsroom/press-releases/2026/senate-advances-legislation-ensure-fair-rates-deliver-relief,"Fair Rates & Ratepayer Relief Package",2026-04-15
S.8710,"Michelle Hinchey","""Our legislation prevents utilities from retroactively increasing charges more than 12 months after service.""","Utilities; Small Business",false,https://www.nysenate.gov/newsroom/press-releases/2026/senate-advances-legislation-ensure-fair-rates-deliver-relief,"Fair Rates & Ratepayer Relief Package",2026-04-15
S.1701,"Shelley B. Mayer","""This bill strengthens utility companies' storm response and compliance requirements.""",Utilities,false,https://www.nysenate.gov/newsroom/press-releases/2026/senate-advances-legislation-ensure-fair-rates-deliver-relief,"Fair Rates & Ratepayer Relief Package",2026-04-15
S.3734B,"Shelley B. Mayer","""There is no reason ratepayers should pay for utilities' efforts to raise our own rates.""","Utilities; Consumer Protection",false,https://www.nysenate.gov/newsroom/press-releases/2026/senate-advances-legislation-ensure-fair-rates-deliver-relief,"Fair Rates & Ratepayer Relief Package",2026-04-15
S.1966,"Christopher J. Ryan","""My legislation makes it easier for eligible New Yorkers to stay enrolled in HEAP.""",Utilities,false,https://www.nysenate.gov/newsroom/press-releases/2026/senate-advances-legislation-ensure-fair-rates-deliver-relief,"Fair Rates & Ratepayer Relief Package",2026-04-15
S.8062A,"Lea Webb","""My bill lets customers set their own usage or cost limits and get notified.""","Utilities; Consumer Protection",false,https://www.nysenate.gov/newsroom/press-releases/2026/senate-advances-legislation-ensure-fair-rates-deliver-relief,"Fair Rates & Ratepayer Relief Package",2026-04-15
S.7025B,"Jeremy Cooney","""I'm proud to join colleagues to push for greater vaccine access for all New Yorkers.""","Health Care",false,https://www.nysenate.gov/newsroom/press-releases/2026/state-senate-advances-legislation-protect-access-vaccinations-uphold,"Vaccine Access & Efficacy Package",2026-03-04
S.8334A,"Andrew Gounardes","""My bill ensures everyone who wants the COVID-19 vaccine can get it.""","Health Care",false,https://www.nysenate.gov/newsroom/press-releases/2026/state-senate-advances-legislation-protect-access-vaccinations-uphold,"Vaccine Access & Efficacy Package",2026-03-04
S.8496C,"Michelle Hinchey","""[Sample quote — sponsor statement not yet available in source release]""","Health Care",true,https://www.nysenate.gov/newsroom/press-releases/2026/state-senate-advances-legislation-protect-access-vaccinations-uphold,"Vaccine Access & Efficacy Package",2026-03-04
S.8853,"Shelley B. Mayer","""New Yorkers deserve healthcare rooted in science, evidence, and the best medical guidance.""","Health Care",false,https://www.nysenate.gov/newsroom/press-releases/2026/state-senate-advances-legislation-protect-access-vaccinations-uphold,"Vaccine Access & Efficacy Package",2026-03-04
S.5706A,"James Skoufis","""I'm proud to support this important pro-vaccine package of bills with my colleagues.""","Health Care",false,https://www.nysenate.gov/newsroom/press-releases/2026/state-senate-advances-legislation-protect-access-vaccinations-uphold,"Vaccine Access & Efficacy Package",2026-03-04
S.5852,"James Skoufis","""I'm proud to support this important pro-vaccine package of bills with my colleagues.""","Health Care",false,https://www.nysenate.gov/newsroom/press-releases/2026/state-senate-advances-legislation-protect-access-vaccinations-uphold,"Vaccine Access & Efficacy Package",2026-03-04
S.5340B,"Toby Ann Stavisky","""This is a practical, common-sense step that expands capacity in doctors' offices.""","Health Care",false,https://www.nysenate.gov/newsroom/press-releases/2026/state-senate-advances-legislation-protect-access-vaccinations-uphold,"Vaccine Access & Efficacy Package",2026-03-04
S.1618,"Gustavo Rivera","""I thank the Leader and colleagues for prioritizing affordable healthcare policies.""","Health Care",false,https://www.nysenate.gov/newsroom/press-releases/2026/state-senate-advances-legislation-protect-access-affordable-health,"Affordable Health Care & Rx Costs Package",2026-02-24
S.2128,"Robert Jackson","""Savings negotiated in a patient's name must reach that patient at the pharmacy counter.""","Health Care; Consumer Protection",false,https://www.nysenate.gov/newsroom/press-releases/2026/state-senate-advances-legislation-protect-access-affordable-health,"Affordable Health Care & Rx Costs Package",2026-02-24
S.634B,"John C. Liu","""We are taking action to catch this serious disease sooner and remove cost barriers.""","Health Care",false,https://www.nysenate.gov/newsroom/press-releases/2026/state-senate-advances-legislation-protect-access-affordable-health,"Affordable Health Care & Rx Costs Package",2026-02-24
