tid,name,usage_count,follower_count,canonical_term,match_type,confidence,final_disposition,canonical_tid
10000,people with disabilities,22,145,Disability Rights,keyword_match,medium,merge_to_canonical,75029.0
10001,Discrimination,24,193,Civil Rights,keyword_match,medium,merge_to_canonical,6831.0
10002,computer crimes,2,5,,,,delete,
10003,Speedy Trial Reform,7,33,,,,delete,
10004,School Funding,55,331,Education,keyword_match,medium,merge_to_canonical,7001.0
10005,Progressive Budget,3,20,Budget,keyword_match,medium,merge_to_canonical,6786.0
10006,Youthbuild,21,28,,,,delete,
10007,Youth Leadership Development,14,36,Children,keyword_match,medium,merge_to_canonical,6816.0
10008,OVERCROWDING,1,4,,,,delete,
10009,Budget Resolution,6,29,Budget,keyword_match,medium,merge_to_canonical,6786.0
10010,Senate Democratic Conference,106,85,,,,delete,
10011,direct service professionals,10,23,,,,delete,
10012,My Brother's Keeper Initiative,1,1,,,,delete,
10013,MTA Funding,14,66,MTA,keyword_match,medium,merge_to_canonical,9222.0
10015,Community Health Centers,4,38,Health Care,keyword_match,medium,merge_to_canonical,7166.0
10016,FQHCs,2,1,,,,delete,
10017,Federal Budget,8,14,Budget,keyword_match,medium,merge_to_canonical,6786.0
10018,America First,1,36,,,,delete,
10019,Criminal Activity,2,29,,,,delete,
100198,Senator Gianaris' 2023 Community Survey,1,3,,,,delete,
10020,General Government,15,88,,,,delete,
10021,Local Assistance,39,110,,,,delete,
10022,Budget Conference,10,21,Budget,keyword_match,medium,merge_to_canonical,6786.0
10023,Nurse Practitioners,5,30,,,,delete,
10024,Nursing,5,39,,,,delete,
10025,Primary Health Care,1,23,Health Care,keyword_match,medium,merge_to_canonical,7166.0
10026,Minority Whip,1,1,,,,delete,
10027,Codes Committee,6,20,,,,delete,
10028,Telehealth,15,75,,,,delete,
10030,child safety zones,4,19,Public Safety,keyword_match,medium,merge_to_canonical,8316.0
10031,David Ohnmacht,2,2,,,,delete,
10032,national register of historic places,2,6,,,,delete,
10033,state register of historic places,3,6,,,,delete,
10034,pleasantville,4,1,,,,delete,
10035,Mohawk Valley,2,1,,,,delete,
10036,Thomas K. Burniston,1,0,,,,delete,
10037,Economic Empowerment,8,24,,,,delete,
10039,Workers' Comp Reform,5,29,,,,delete,
10040,Enviornment,28,95,,,,delete,
10041,2017 Veterans Hall of Fame,0,33,Veterans,keyword_match,medium,merge_to_canonical,7691.0
100426,school food,1,9,Education,keyword_match,medium,merge_to_canonical,7001.0
10044,croton,2,3,,,,delete,
100448,Legalizing basements & Cellars,3,15,,,,delete,
10045,Underhill-Acker House,1,1,,,,delete,
10047,Community Colleges,4,43,Higher Education,keyword_match,medium,merge_to_canonical,7176.0
10048,Real Property Taxes,20,200,Taxes,keyword_match,medium,merge_to_canonical,7626.0
10049,Senator Addabbo,4,1,,,,delete,
10050,Prostate,1,2,,,,delete,
10051,Queens,252,271,,,,delete,
10052,Waste Management,5,27,,,,delete,
100527,Unemployment bridge program,1,6,Jobs & Employment,keyword_match,medium,merge_to_canonical,7261.0
100528,DATA Tax,1,3,Taxes,keyword_match,medium,merge_to_canonical,7626.0
