Week,6.x-0.x,6.x-1.x,7.x-1.x,7.x-2.x,8.x-1.x,8.x-3.x,8.x-4.x,5.0.x,Total
21-Aug-21,0,71,12,13458,1,4632,6,637,18817
14-Aug-21,0,77,13,13517,1,4518,9,608,18743
7-Aug-21,0,73,11,13586,1,4651,6,606,18934
31-Jul-21,0,76,13,13479,1,4488,7,619,18683
24-Jul-21,0,70,10,13771,1,4385,7,530,18774
17-Jul-21,0,73,12,13756,1,4430,8,536,18816
10-Jul-21,0,77,13,13596,1,4362,8,519,18576
3-Jul-21,0,75,11,13715,1,4437,8,596,18843
26-Jun-21,0,73,12,13925,1,4470,9,651,19141
19-Jun-21,0,80,13,13886,1,4583,7,499,19069
12-Jun-21,0,79,13,13651,1,4506,9,455,18714
5-Jun-21,0,84,12,13656,1,4525,8,457,18743
29-May-21,0,79,15,13935,1,4554,10,438,19032
22-May-21,0,84,14,13840,1,4511,8,500,18958
15-May-21,0,80,13,13790,2,4524,11,553,18973
8-May-21,0,85,13,13748,1,4448,9,357,18661
1-May-21,0,83,12,13853,0,4371,8,379,18706
24-Apr-21,0,82,14,13835,1,4431,6,340,18709
17-Apr-21,0,86,14,14080,0,4455,10,322,18967
10-Apr-21,0,82,12,13736,0,4326,8,280,18444
3-Apr-21,0,82,14,13815,0,4347,8,289,18555
27-Mar-21,0,78,12,13490,1,4212,7,325,18125
20-Mar-21,0,77,12,13667,0,4389,9,366,18520
13-Mar-21,0,77,12,13671,0,4293,9,269,18331
6-Mar-21,0,75,14,13840,0,4361,8,253,18551
27-Feb-21,0,81,14,14144,1,4413,9,235,18897
20-Feb-21,0,83,14,14151,0,4451,10,217,18926
13-Feb-21,0,80,13,14057,0,4294,10,247,18701
6-Feb-21,0,86,16,14042,0,4271,10,233,18658
30-Jan-21,0,78,13,14221,0,4330,7,257,18906
23-Jan-21,0,85,13,14109,0,4283,9,192,18691
16-Jan-21,0,94,16,14294,0,4227,9,162,18802
9-Jan-21,0,88,15,14244,0,4133,9,154,18643
2-Jan-21,0,81,14,14235,0,4123,15,145,18613
26-Dec-20,0,82,15,13746,0,3721,9,130,17703
19-Dec-20,0,83,15,13904,0,3704,9,128,17843
12-Dec-20,0,86,16,14299,0,4007,16,170,18594
5-Dec-20,0,85,15,14714,0,4047,12,152,19025
28-Nov-20,0,81,14,14852,0,3970,16,148,19081
21-Nov-20,0,78,16,14817,0,4347,17,108,19383
14-Nov-20,0,86,17,14840,0,4567,22,62,19594
7-Nov-20,0,87,18,14286,0,4110,18,80,18599
31-Oct-20,0,86,19,14599,0,4100,25,49,18878
24-Oct-20,0,91,16,14571,0,4157,25,3,18863
17-Oct-20,0,84,16,14434,0,5116,25,0,19675
10-Oct-20,0,87,15,14563,0,5102,33,0,19800
3-Oct-20,0,83,18,14593,0,4059,26,0,18779
26-Sep-20,0,88,17,14717,0,3971,23,0,18816
19-Sep-20,0,91,20,14605,0,4064,22,0,18802
12-Sep-20,0,87,19,14706,0,4865,24,0,19701
5-Sep-20,0,88,20,14661,0,4641,29,0,19439
29-Aug-20,0,91,19,14814,0,4557,28,0,19509
22-Aug-20,0,92,17,14570,0,4572,30,0,19281
15-Aug-20,0,84,20,14743,0,4615,32,0,19494
8-Aug-20,0,92,20,14800,0,4627,28,0,19567
1-Aug-20,0,90,19,14925,0,4433,20,0,19487
25-Jul-20,0,92,19,15013,0,4533,19,0,19676
18-Jul-20,0,89,20,14750,0,4532,22,0,19413
